preprocessed_feature,concept_id,run_nr,amount_runs_feature_occured,amount_runs_feature_occured_within_concept,decoded_feature
it is used for hot beverages,mug,26,2,2,is used for hot beverages
it has a flat base,mug,26,6,3,has a flat base
it can have various designs and patterns,mug,26,3,2,has various designs and patterns
it is durable,mug,26,10,2,is durable
it is a piece of jewelry,necklace,26,9,9,is a piece of jewelry
it is worn around the neck,necklace,26,10,10,is worn around the neck
it is decorative,necklace,26,10,8,is decorative
it can be made of various materials (such as metal,necklace,26,10,4,is made of various materials
it can have a pendant or charm,necklace,26,2,2,has a charm
it can have a pendant or charm,necklace,26,3,3,has a pendant
it can be a fashion accessory,necklace,26,5,4,is a fashion accessory
it has a clasp or closure,necklace,26,4,4,has a closure
it has a clasp or closure,necklace,26,8,6,has a clasp
it can be adjustable in length,necklace,26,2,2,is adjustable in length
it is a marine animal,octopus,26,10,8,is marine
it is a marine animal,octopus,26,10,8,is an animal
it is a marine animal,octopus,26,9,8,is a marine animal
it has 8 arms or tentacles,octopus,26,10,10,has eight arms
it has 8 arms or tentacles,octopus,26,1,1,has eight tentacles
it is an invertebrate,octopus,26,10,10,is an invertebrate
it is a mollusk,octopus,26,10,7,is a mollusk
it is a cephalopod,octopus,26,8,5,is a cephalopod
it has a soft body,octopus,26,10,6,has a soft body
it has a beak,octopus,26,10,6,has a beak
it can change color and texture,octopus,26,4,3,changes color and texture
it is intelligent,octopus,26,10,9,is intelligent
it uses ink for defense,octopus,26,2,2,uses ink for defense
it is carnivorous,octopus,26,10,3,is carnivorous
it is a fruit,olive,26,10,10,is a fruit
it grows on trees,olive,26,10,10,grows on trees
it is small,olive,26,10,10,is small
it is oval-shaped,olive,26,10,7,is oval - shaped
it has a pit,olive,26,10,6,has a pit
it is green or black depending on ripeness,olive,26,1,1,is green or black depending on ripeness
it is used in cooking,olive,26,10,7,is used in cooking
it can be eaten raw or cured,olive,26,1,1,is eaten raw or cured
it is a source of healthy fats,olive,26,2,2,is a source of healthy fats
it is used to make olive oil,olive,26,5,5,is used to make olive oil
it is a bird,ostrich,26,10,10,is a bird
it is large,ostrich,26,10,7,is large
it is flightless,ostrich,26,8,8,is flightless
it has two legs,ostrich,26,10,1,has two legs
it has a long neck,ostrich,26,10,8,has a long neck
it is fast,ostrich,26,9,3,is fast
it is native to africa,ostrich,26,9,9,is native to africa
it has feathers,ostrich,26,10,8,has feathers
it lays large eggs,ostrich,26,8,8,lays large eggs
it has strong legs,ostrich,26,4,2,has strong legs
it is an omnivore,ostrich,26,9,4,is an omnivore
it has small wings,ostrich,26,5,5,has small wings
it is a fruit,orange,26,10,10,is a fruit
it is round,orange,26,10,10,is round
it has a peel,orange,26,10,10,has a peel
it is orange in color,orange,26,9,9,is orange in color
it is juicy,orange,26,10,10,is juicy
it is sweet,orange,26,10,5,is sweet
it is acidic,orange,26,6,3,is acidic
it has a citrus flavor,orange,26,6,5,has a citrus flavor
it grows on trees,orange,26,10,10,grows on trees
it contains vitamin c,orange,26,10,6,contains vitamin c
it has segments,orange,26,6,6,has segments
it has seeds,orange,26,10,10,has seeds
it is a mammal,otter,26,10,10,is a mammal
it has fur,otter,26,10,8,has fur
it is semi-aquatic,otter,26,10,9,is semi - aquatic
it has webbed feet,otter,26,10,10,has webbed feet
it is a carnivore,otter,26,10,4,is a carnivore
it has a long tail,otter,26,10,4,has a long tail
it is an animal,otter,26,10,2,is an animal
it is playful,otter,26,10,10,is playful
it swims,otter,26,10,2,swims
it lives near water,otter,26,10,1,lives near water
it has a streamlined body,otter,26,10,3,has a streamlined body
it eats fish and other aquatic creatures,otter,26,2,2,eats fish and other aquatic creatures
it is an appliance,oven,26,10,7,is an appliance
it is used for cooking,oven,26,10,9,is used to cook
it is found in kitchens,oven,26,10,10,is found in kitchens
it is electrical or gas-powered,oven,26,1,1,is electrical or gas - powered
it generates heat,oven,26,2,2,generates heat
it has temperature controls,oven,26,8,8,has temperature controls
it has a door,oven,26,10,10,has a door
it has racks or shelves inside,oven,26,1,1,has racks or shelves inside
it can bake,oven,26,2,2,bakes
it is made of metal,oven,26,10,2,is made of metal
it often has a timer function,oven,26,1,1,often has a timer function
it is a fruit,peach,26,10,9,is a fruit
it has a soft and fuzzy skin,peach,26,1,1,has a soft and fuzzy skin
it is round,peach,26,10,10,is round
it has a sweet taste,peach,26,9,3,has a sweet taste
it has a pit or stone in the center,peach,26,4,3,has a pit or stone in the center
it grows on trees,peach,26,10,10,grows on trees
it is juicy,peach,26,10,10,is juicy
it is edible,peach,26,10,3,is edible
it is commonly used in desserts and preserves,peach,26,1,1,is commonly used in desserts and preserves
it is a bird,owl,26,10,10,is a bird
it has feathers,owl,26,10,10,has feathers
it is nocturnal,owl,26,10,10,is nocturnal
it has large eyes,owl,26,10,10,has large eyes
it can fly,owl,26,10,6,flies
it has a beak,owl,26,10,4,has a beak
it has talons,owl,26,6,4,has talons
it is a predator,owl,26,10,9,is a predator
it can rotate its head up to 270 degrees,owl,26,5,5,rotates its head up to 270 degrees
it has excellent hearing,owl,26,7,7,has excellent hearing
it is known for its hooting call,owl,26,1,1,is known for its hooting call
it is a large cat,panther,26,8,8,is a large cat
it is a large cat,panther,26,10,8,is large
it is a large cat,panther,26,10,9,is a cat
it is a carnivore,panther,26,10,10,is a carnivore
it is a mammal,panther,26,10,7,is a mammal
it has a sleek body,panther,26,5,3,has a sleek body
it has sharp teeth,panther,26,10,6,has sharp teeth
it has retractable claws,panther,26,10,8,has retractable claws
it is an excellent hunter,panther,26,8,3,is excellent
it is an excellent hunter,panther,26,6,4,is a hunter
it is an excellent hunter,panther,26,2,2,is an excellent hunter
it has strong muscles,panther,26,7,4,has strong muscles
it is fast,panther,26,9,5,is fast
it can climb trees,panther,26,10,4,climbs trees
it has a powerful bite,panther,26,1,1,has a powerful bite
it is stealthy and agile,panther,26,8,8,is stealthy
it is stealthy and agile,panther,26,10,9,is agile
it is a herb,parsley,26,9,9,is a herb
it is green,parsley,26,10,10,is green
it has leaves,parsley,26,10,6,has leaves
it is edible,parsley,26,10,7,is edible
it is used for garnishing,parsley,26,5,4,is used to garnish
it has a fresh flavor,parsley,26,3,3,has a fresh flavor
it is used in cooking,parsley,26,10,10,is used in cooking
it grows on plants,parsley,26,8,1,grows on plants
it has a slightly bitter taste,parsley,26,10,2,has a slightly bitter taste
it is rich in vitamins and minerals,parsley,26,10,5,is minerals
it is rich in vitamins and minerals,parsley,26,9,5,is rich in vitamins
it is a bird,peacock,26,10,10,is a bird
it has colorful feathers,peacock,26,4,4,has colorful feathers
it can fly,peacock,26,10,9,flies
it has a long tail,peacock,26,10,5,has a long tail
it is known for its iridescent plumage,peacock,26,3,3,is known for its iridescent plumage
it is a symbol of beauty and grace,peacock,26,4,3,is a symbol of beauty
it is a symbol of beauty and grace,peacock,26,1,1,is grace
it can make loud calls,peacock,26,2,2,makes loud calls
it is a fruit,pear,26,10,10,is a fruit
it is edible,pear,26,10,4,is edible
it grows on trees,pear,26,10,10,grows on trees
it has a unique shape (wide at the bottom and narrow at the top),pear,26,10,10,has a unique shape
it has thin skin,pear,26,2,1,has thin skin
it can be green or yellow when ripe,pear,26,3,3,is green or yellow
it has a sweet and juicy flesh,pear,26,2,1,has a sweet and juicy flesh
it contains seeds,pear,26,5,3,contains seeds
it is a good source of vitamins and fiber,pear,26,3,2,is fiber
it is a good source of vitamins and fiber,pear,26,3,2,is a good source of vitamins
it is made of wood,peg,26,10,10,is made of wood
it is small,peg,26,10,9,is small
it has a simple design,peg,26,6,5,has a simple design
it is used for hanging clothes,peg,26,6,6,is used to hang clothes
it has two prongs,peg,26,5,5,has two prongs
it has a spring mechanism,peg,26,5,4,has a spring mechanism
it provides grip and pressure,peg,26,1,1,provides pressure
it provides grip and pressure,peg,26,2,1,provides grip
it is lightweight,peg,26,10,9,is lightweight
it is portable,peg,26,10,2,is portable
it is a bird,pelican,26,10,10,is a bird
it has a large beak,pelican,26,7,7,has a large beak
it has a pouch under its beak,pelican,26,6,6,has a pouch under its beak
it can fly,pelican,26,10,10,flies
it has feathers,pelican,26,10,8,has feathers
it lives near water,pelican,26,10,5,lives near water
it is a fish-eater,pelican,26,1,1,is a fish - eater
it has webbed feet,pelican,26,10,10,has webbed feet
it is large,pelican,26,10,4,is large
it is social,pelican,26,10,2,is social
it is a strong swimmer,pelican,26,10,2,is strong
it is a strong swimmer,pelican,26,9,5,is a swimmer
it is a strong swimmer,pelican,26,2,2,is a strong swimmer
it is a writing instrument,pen,26,4,3,is a writing instrument
it contains ink,pen,26,5,5,contains ink
it has a tip or nib,pen,26,8,7,has a tip
it has a tip or nib,pen,26,5,5,has a nib
it is cylindrical,pen,26,10,5,is cylindrical
it is portable,pen,26,10,10,is portable
it comes in various colors,pen,26,10,9,comes in various colors
it has a cap or retractable mechanism,pen,26,3,3,has a cap or retractable mechanism
it is made of plastic or metal,pen,26,10,10,is made of metal
it is made of plastic or metal,pen,26,10,10,is made of plastic
it is used for writing or drawing,pen,26,10,3,is used to draw
it is used for writing or drawing,pen,26,10,10,is used to write
it is a writing instrument,pencil,26,4,2,is a writing instrument
it has a cylindrical shape,pencil,26,9,2,has a cylindrical shape
it contains graphite,pencil,26,5,5,contains graphite
it has a wooden casing,pencil,26,2,2,has a wooden casing
it can be sharpened,pencil,26,10,10,is sharpened
it is lightweight,pencil,26,10,9,is lightweight
it is portable,pencil,26,10,8,is portable
it is used for drawing and writing,pencil,26,10,9,is used to draw
it is used for drawing and writing,pencil,26,10,9,is used to write
it is erasable,pencil,26,1,1,is erasable
it comes in various hardness levels (e.g. hb,pencil,26,1,1,comes in various hardness levels
it is a musical instrument,piano,26,10,10,is an instrument
it is a musical instrument,piano,26,10,10,is a musical instrument
it is a musical instrument,piano,26,10,10,is musical
it has keys,piano,26,10,10,has keys
it produces sound,piano,26,10,10,produces sound
it is large,piano,26,10,10,is large
it has strings,piano,26,10,9,has strings
it is played with fingers,piano,26,5,3,is played with fingers
it is used in various music genres,piano,26,10,4,is used in various music genres
it has a wooden body,piano,26,1,1,has a wooden body
it has pedals,piano,26,10,10,has pedals
it is heavy,piano,26,10,10,is heavy
it is a keyboard instrument,piano,26,1,1,is a keyboard instrument
it is a bird,penguin,26,10,9,is a bird
it cannot fly,penguin,26,8,8,can not fly
it is aquatic,penguin,26,6,4,is aquatic
it has flippers,penguin,26,10,7,has flippers
it has black and white feathers,penguin,26,3,3,has black and white feathers
it lives in cold climates,penguin,26,8,8,lives in cold climates
it waddles when walking,penguin,26,10,9,waddles
it swims well,penguin,26,4,4,swims well
it is a good diver,penguin,26,9,5,is good
it is a good diver,penguin,26,3,3,is a good diver
it is a good diver,penguin,26,3,3,is a diver
it lays eggs,penguin,26,10,6,lays eggs
it lives in colonies,penguin,26,10,8,lives in colonies
it feeds on fish and krill,penguin,26,3,3,feeds on fish and krill
it is a food,pie,26,10,1,is a food
it has a crust,pie,26,10,10,has a crust
it is baked,pie,26,10,10,is baked
it has a filling,pie,26,8,8,has a filling
it can be sweet or savory,pie,26,10,10,is savory
it can be sweet or savory,pie,26,10,10,is sweet
it is round or rectangular,pie,26,10,10,is round
it is round or rectangular,pie,26,10,2,is rectangular
it can be eaten hot or cold,pie,26,2,2,is eaten hot
it can be eaten hot or cold,pie,26,2,2,is eaten cold
it has a pastry shell,pie,26,2,2,has a pastry shell
it can be served in slices,pie,26,3,3,is served in slices
it is made from dough,pie,26,3,3,is made of dough
it can have various flavors and fillings,pie,26,1,1,has various flavors and fillings
it is a mammal,pig,26,10,10,is a mammal
it has four legs,pig,26,10,7,has four legs
it is an animal,pig,26,10,2,is an animal
it is domesticated,pig,26,10,8,is domesticated
it is omnivorous,pig,26,10,9,is omnivorous
it has a snout,pig,26,10,10,has a snout
it has a curly tail,pig,26,9,9,has a curly tail
it is pink or black,pig,26,10,2,is black
it is pink or black,pig,26,10,7,is pink
it lives on farms,pig,26,8,7,lives on farms
it is used for meat production (pork),pig,26,6,4,is used for meat production
it is a bird,pigeon,26,10,9,is a bird
it has feathers,pigeon,26,10,10,has feathers
it can fly,pigeon,26,10,10,flies
it has two legs,pigeon,26,10,9,has two legs
it has a beak,pigeon,26,10,8,has a beak
it is found in urban areas,pigeon,26,7,5,is found in urban areas
it coos,pigeon,26,8,8,coos
it is a common bird,pigeon,26,3,2,is common
it is a common bird,pigeon,26,2,2,is a common bird
it eats seeds and insects,pigeon,26,7,7,eats insects
